Plan_Size,Storeys,Soil_Profile,Roof_Displacement_mm,Storey_Drift_mm,Beam_Bending_Moment_kNm,Column_Axial_Force_kN,Base_Shear_kN
4x4,4,FBLS,27.88,7.19,29.15,76.0,672.33
4x4,4,SFLD1,52.3,10.46,46.49,79.32,413.68
4x4,4,SFLD2,52.3,10.46,46.49,79.32,413.68
4x4,4,MHMD1,52.3,10.46,46.49,79.32,413.68
4x4,4,MHMD2,46.14,9.41,45.33,80.38,420.02
4x4,4,HBLD1,46.14,9.41,45.33,80.38,420.02
4x4,4,HBLD2,29.37,7.3,29.04,93.98,638.79
4x4,6,FBLS,38.01,7.27,29.0,77.96,650.62
4x4,6,SFLD1,103.92,15.33,44.44,89.65,496.67
4x4,6,SFLD2,103.92,15.33,44.44,89.65,496.67
4x4,6,MHMD1,103.92,15.33,44.44,89.65,496.67
4x4,6,MHMD2,89.2,13.41,43.59,90.36,496.67
4x4,6,HBLD1,89.2,13.41,43.59,90.36,496.67
4x4,6,HBLD2,40.58,7.47,29.78,95.15,615.07
4x4,8,FBLS,48.85,7.21,28.68,79.93,625.15
4x4,8,SFLD1,186.15,21.47,46.92,94.84,579.67
4x4,8,SFLD2,186.15,21.47,46.92,94.84,579.67
4x4,8,MHMD1,186.15,21.47,46.92,94.84,579.67
4x4,8,MHMD2,158.41,18.56,46.11,95.33,579.67
4x4,8,HBLD1,158.41,18.56,46.11,95.33,579.67
4x4,8,HBLD2,52.8,7.5,29.73,96.46,586.89
4x4,10,FBLS,65.54,7.87,29.21,81.69,662.66
4x4,10,SFLD1,303.53,28.65,50.93,97.97,662.66
4x4,10,SFLD2,303.53,28.65,50.93,97.97,662.66
4x4,10,MHMD1,303.53,28.65,50.93,97.97,662.66
4x4,10,MHMD2,256.64,24.57,50.28,98.33,662.66
4x4,10,HBLD1,256.64,24.57,50.28,98.33,662.66
4x4,10,HBLD2,76.91,8.88,31.98,97.26,662.66
4x4,12,FBLS,89.75,9.01,30.37,83.34,745.65
4x4,12,SFLD1,461.16,36.72,54.72,99.98,745.65
4x4,12,SFLD2,461.16,36.72,54.72,99.98,745.65
4x4,12,MHMD1,461.16,36.72,54.72,99.98,745.65
4x4,12,MHMD2,387.98,31.29,54.17,100.26,745.65
4x4,12,HBLD1,387.98,31.29,54.17,100.26,745.65
4x4,12,HBLD2,107.25,10.35,36.8,97.65,745.65
6x6,4,FBLS,26.11,6.81,26.6,68.27,1315.18
6x6,4,SFLD1,44.65,9.61,49.69,59.44,864.58
6x6,4,SFLD2,44.65,9.61,49.69,59.44,864.58
6x6,4,MHMD1,44.65,9.61,49.69,59.44,864.58
6x6,4,MHMD2,41.33,8.7,48.51,59.42,913.92
6x6,4,HBLD1,41.33,8.7,48.51,59.42,913.92
6x6,4,HBLD2,27.17,6.86,27.35,78.45,1262.07
